date,agricultura,petroleo_minas,manufactura,construccion,comercio,servicios,impuestos_netos,imaec_total,imaec_petrolero,imaec_no_petrolero,imaec_vulnerable
2019-06-01,99.4579799223739,103.1019965969547,97.49036072595555,83.21783514537432,102.1699321910829,98.27353173114275,90.70869246457345,97.9992146943295,100.7089921888274,98.19310152641228,95.28791494838887
2019-07-01,103.7833281032253,104.2614716082999,99.91465499213031,88.08896304723244,104.0165543999918,101.5597158791744,95.0226816991007,101.0162105029268,101.6084342204026,101.3464777029844,98.39497207963224
2019-08-01,104.144255324236,102.254318902017,98.78559791088104,80.19910150225587,104.0285096385541,100.71147865939,99.3507501070082,100.1823631103629,98.49079870955445,100.4135061629855,95.93117192777027
2019-09-01,101.2004694313025,101.1739962048761,95.22732236392531,76.65843849039584,102.9783597419782,101.8598801621341,98.02810681952535,99.52268533647604,97.70261455114418,99.81063080604707,94.18100018960837
2019-10-01,96.95145332012972,101.5509175050997,91.58586551135255,82.75427439469219,95.61650851025992,99.9003978803706,89.4165294923848,96.6217290503916,95.34318111487222,97.22672891868088,92.4642615741688
2019-11-01,108.8788597478891,93.41625832320159,99.59509379559441,80.73867659278584,106.7124059789445,102.9839579678022,88.90819860657277,100.829266901013,90.26207597132947,102.7132809622935,97.50753358378174
2019-12-01,106.2501993288423,97.74228325651066,95.70567900155646,79.71238230567911,102.5150848328105,102.7882945608827,85.48081209823266,99.51969699101971,89.12488487664376,101.5242647139079,95.1803601752322
2020-01-01,112.7008949733038,97.06322693023408,98.43523604560818,89.34988626053105,111.3805843819081,103.801079572602,106.7902572055509,103.861515497958,87.78096256086019,105.0822437175707,100.74169656516233
2020-02-01,110.1764539678152,97.18588427757815,98.66681832261511,91.21854109077492,106.433199938464,103.7841117450026,83.61665211215404,101.6155615515544,86.38182679475983,104.3387311901309,100.02566777421416
2020-03-01,102.1993324607468,124.4356625121195,78.30269407186644,69.03540097932405,84.13731577938643,91.2690983258488,76.42602354566321,89.74606442023656,109.66842782552,88.86541793871484,80.68612728910642
2020-04-01,99.43893577868383,110.1869231181648,63.2137802583928,32.55861653311678,73.52872931680945,85.24640987341446,72.97412892480439,80.13300291361298,99.5421234560989,78.83917694787823,63.636883995433365
2020-05-01,101.7746058424392,74.16336584010762,78.1113333098782,35.66475733570539,80.30800192951324,86.20104135024816,71.96408043709482,81.15016932655689,73.03045375809677,82.55853766357546,70.07128348133625
2020-06-01,102.2482110048819,92.30513619549117,91.06519371296685,51.4330709108913,92.78774662644199,87.8983640935811,71.90757235462253,87.51142809265156,101.1979298872992,87.38175398275177,80.79609383597031
2020-07-01,101.9161382629495,87.83323437750913,86.74036211689715,63.94769815368063,87.19127911271897,92.7017651343528,71.11981607765246,88.68312972923967,82.05566554115376,90.58224842061743,82.6452761294124
2020-08-01,98.78544164463358,90.49835376035406,87.46633804824783,68.27886749597616,85.66360468360999,92.20104546990217,70.90545410131276,88.49771549211155,81.43635933382896,90.43928981422766,83.40246392443404
2020-09-01,102.0654619543955,105.8052127888063,90.22416341687122,70.7978361276971,89.54100227217839,95.05014143175784,73.64204907586291,92.37893612621232,94.09967879212914,93.59177693129512,86.40328581212613
2020-10-01,98.05862192672893,97.036787278988,94.8934658411047,70.12331928624883,92.02310442174104,96.63715902119152,71.6705391216301,92.97488812486421,85.70749070111195,95.21372571848488,88.41926214257153
2020-11-01,101.5833647402792,106.7797684483977,93.46228348510223,74.16714362332547,94.17084333039936,94.9462434217784,72.99723448077344,93.55965447179568,93.95451112999102,95.03256493441391,89.18662846515136
2020-12-01,96.02446627396422,92.33115686939402,88.99257783475554,74.50730742245076,84.63886122394297,95.55922661339704,76.71825700399339,90.74813170167225,84.69037525171687,92.3267997481223,85.92449327363659
2021-01-01,100.8702655780974,98.07016569805519,93.13269082950497,71.45801025114426,94.85332841214041,96.25854768967072,81.88624899150304,94.09744178860495,87.4766371494497,95.38836417118468,88.92564429561509
2021-02-01,106.3409411913034,102.7482289808628,94.97447805124455,69.62981824115727,96.9343420134734,96.71229358473322,82.90460263010633,95.47985587185188,87.86355865198024,96.8607408518559,89.56273297265211
2021-03-01,107.5205700673495,98.68299735419943,98.74187601751198,94.75883731515064,97.44585900527234,98.05327680423949,86.33207198443532,98.14757578945553,90.9314202045451,99.43421855563143,97.24996228554362
2021-04-01,107.8892514296921,115.5851025227076,99.23168451714841,70.32202340262215,100.6598977571475,98.4500574603675,89.96133683754766,98.72844150273703,93.04220772972415,99.65899332391295,92.16591578432138
2021-05-01,108.9970880727856,101.9293567854233,99.14722794768237,66.83238698028462,103.0947347072413,99.2184468414791,83.34266826221169,98.15859907812931,98.79329093815858,99.21992035330422,92.07319911917185
2021-06-01,107.2830652858287,110.7723407859861,101.7827122148449,70.58150840479475,104.238295739105,100.2381049777222,88.3398881358441,100.0417151970276,98.31831135904713,100.9779307938496,94.2101553341167
